x_center,y_center,x_min,x_max,y_min,y_max,attempts,goals,conversion_rate,shots_faced,save_pct,zone_label
32.5,17.5,30,35,15,20,1585,29,0.0183,915,0.96831,Wide
32.5,22.5,30,35,20,25,1765,37,0.02096,1054,0.9649,Wide
32.5,27.5,30,35,25,30,1957,27,0.0138,1122,0.97594,Wide
32.5,32.5,30,35,30,35,2442,18,0.00737,1362,0.98678,Wide
32.5,37.5,30,35,35,40,2317,27,0.01165,1224,0.97794,Wide
37.5,-37.5,35,40,-40,-35,1402,12,0.00856,851,0.9859,Wide
37.5,-32.5,35,40,-35,-30,2315,21,0.00907,1427,0.98528,Wide
37.5,-27.5,35,40,-30,-25,2438,33,0.01354,1569,0.97897,Wide
37.5,-22.5,35,40,-25,-20,2229,33,0.0148,1451,0.97726,Wide
37.5,-17.5,35,40,-20,-15,1773,26,0.01466,1187,0.9781,Wide
37.5,-12.5,35,40,-15,-10,1494,27,0.01807,963,0.97196,FNFI
37.5,-7.5,35,40,-10,-5,1357,34,0.02506,863,0.9606,FNFI
37.5,-2.5,35,40,-5,0,1647,39,0.02368,1117,0.96509,FNFI
37.5,2.5,35,40,0,5,2296,44,0.01916,1269,0.96533,FNFI
37.5,7.5,35,40,5,10,1769,28,0.01583,882,0.96825,FNFI
37.5,12.5,35,40,10,15,1812,32,0.01766,905,0.96464,FNFI
37.5,17.5,35,40,15,20,2042,23,0.01126,1022,0.9775,Wide
37.5,22.5,35,40,20,25,2526,34,0.01346,1333,0.97449,Wide
37.5,27.5,35,40,25,30,2854,40,0.01402,1457,0.97255,Wide
37.5,32.5,35,40,30,35,2998,29,0.00967,1476,0.98035,Wide
37.5,37.5,35,40,35,40,2156,16,0.00742,1090,0.98532,Wide
42.5,-37.5,40,45,-40,-35,1360,8,0.00588,887,0.99098,Wide
42.5,-32.5,40,45,-35,-30,1662,15,0.00903,1091,0.98625,Wide
42.5,-27.5,40,45,-30,-25,1794,14,0.0078,1203,0.98836,Wide
42.5,-22.5,40,45,-25,-20,1717,28,0.01631,1183,0.97633,Wide
42.5,-17.5,40,45,-20,-15,1406,22,0.01565,937,0.97652,Wide
42.5,-12.5,40,45,-15,-10,1222,36,0.02946,795,0.95472,FNFI
42.5,-7.5,40,45,-10,-5,1124,27,0.02402,725,0.96276,FNFI
42.5,-2.5,40,45,-5,0,1453,48,0.03304,1010,0.95248,FNFI
42.5,2.5,40,45,0,5,2633,42,0.01595,1141,0.96319,FNFI
42.5,7.5,40,45,5,10,2103,38,0.01807,858,0.95571,FNFI
42.5,12.5,40,45,10,15,2071,33,0.01593,844,0.9609,FNFI
42.5,17.5,40,45,15,20,2400,27,0.01125,928,0.97091,Wide
42.5,22.5,40,45,20,25,2829,23,0.00813,1178,0.98048,Wide
42.5,27.5,40,45,25,30,3127,18,0.00576,1234,0.98541,Wide
42.5,32.5,40,45,30,35,2747,24,0.00874,1122,0.97861,Wide
42.5,37.5,40,45,35,40,1969,10,0.00508,1059,0.99056,Wide
47.5,-37.5,45,50,-40,-35,1357,12,0.00884,886,0.98646,Wide
47.5,-32.5,45,50,-35,-30,1482,20,0.0135,1021,0.98041,Wide
47.5,-27.5,45,50,-30,-25,1555,20,0.01286,1093,0.9817,Wide
47.5,-22.5,45,50,-25,-20,1597,37,0.02317,1078,0.96568,Wide
47.5,-17.5,45,50,-20,-15,1417,43,0.03035,1013,0.95755,Wide
47.5,-12.5,45,50,-15,-10,1288,45,0.03494,898,0.94989,FNFI
47.5,-7.5,45,50,-10,-5,1274,52,0.04082,858,0.93939,FNFI
47.5,-2.5,45,50,-5,0,1470,49,0.03333,976,0.9498,FNFI
47.5,2.5,45,50,0,5,3356,82,0.02443,1251,0.93445,FNFI
47.5,7.5,45,50,5,10,2624,69,0.0263,911,0.92426,FNFI
47.5,12.5,45,50,10,15,2652,41,0.01546,903,0.9546,FNFI
47.5,17.5,45,50,15,20,3033,35,0.01154,991,0.96468,Wide
47.5,22.5,45,50,20,25,3489,30,0.0086,1179,0.97455,Wide
47.5,27.5,45,50,25,30,3115,21,0.00674,1169,0.98204,Wide
47.5,32.5,45,50,30,35,2419,19,0.00785,1041,0.98175,Wide
47.5,37.5,45,50,35,40,1855,18,0.0097,1039,0.98268,Wide
52.5,-37.5,50,55,-40,-35,1287,10,0.00777,850,0.98824,Wide
52.5,-32.5,50,55,-35,-30,1616,19,0.01176,1151,0.98349,Wide
52.5,-27.5,50,55,-30,-25,1815,40,0.02204,1339,0.97013,Wide
52.5,-22.5,50,55,-25,-20,2186,76,0.03477,1621,0.95312,Wide
52.5,-17.5,50,55,-20,-15,2003,79,0.03944,1415,0.94417,Wide
52.5,-12.5,50,55,-15,-10,1768,86,0.04864,1230,0.93008,FNFI
52.5,-7.5,50,55,-10,-5,1513,88,0.05816,1014,0.91321,FNFI
52.5,-2.5,50,55,-5,0,1685,96,0.05697,1144,0.91608,FNFI
52.5,2.5,50,55,0,5,4077,149,0.03655,1369,0.89116,FNFI
52.5,7.5,50,55,5,10,3399,88,0.02589,1089,0.91919,FNFI
52.5,12.5,50,55,10,15,3782,96,0.02538,1229,0.92189,FNFI
52.5,17.5,50,55,15,20,4374,88,0.02012,1533,0.9426,Wide
52.5,22.5,50,55,20,25,4515,72,0.01595,1763,0.95916,Wide
52.5,27.5,50,55,25,30,3427,34,0.00992,1460,0.97671,Wide
52.5,32.5,50,55,30,35,2432,18,0.0074,1179,0.98473,Wide
52.5,37.5,50,55,35,40,1788,10,0.00559,1039,0.99038,Wide
57.5,-37.5,55,60,-40,-35,1320,19,0.01439,903,0.97896,Wide
57.5,-32.5,55,60,-35,-30,1599,18,0.01126,1151,0.98436,Wide
57.5,-27.5,55,60,-30,-25,2005,34,0.01696,1504,0.97739,Wide
57.5,-22.5,55,60,-25,-20,2743,97,0.03536,2007,0.95167,Wide
57.5,-17.5,55,60,-20,-15,2687,142,0.05285,1906,0.9255,Wide
57.5,-12.5,55,60,-15,-10,2315,137,0.05918,1586,0.91362,MNFI
57.5,-7.5,55,60,-10,-5,1870,150,0.08021,1241,0.87913,MNFI
57.5,-2.5,55,60,-5,0,2081,173,0.08313,1417,0.87791,MNFI
57.5,2.5,55,60,0,5,4993,211,0.04226,1653,0.87235,MNFI
57.5,7.5,55,60,5,10,4455,142,0.03187,1294,0.89026,MNFI
57.5,12.5,55,60,10,15,5198,155,0.02982,1627,0.90473,MNFI
57.5,17.5,55,60,15,20,5612,156,0.0278,2024,0.92292,Wide
57.5,22.5,55,60,20,25,4990,110,0.02204,2127,0.94828,Wide
57.5,27.5,55,60,25,30,3496,46,0.01316,1650,0.97212,Wide
57.5,32.5,55,60,30,35,2486,29,0.01167,1258,0.97695,Wide
57.5,37.5,55,60,35,40,1991,15,0.00753,1159,0.98706,Wide
62.5,-37.5,60,65,-40,-35,1275,16,0.01255,864,0.98148,Wide
62.5,-32.5,60,65,-35,-30,1530,12,0.00784,1109,0.98918,Wide
62.5,-27.5,60,65,-30,-25,2081,67,0.0322,1530,0.95621,Wide
62.5,-22.5,60,65,-25,-20,2558,106,0.04144,1874,0.94344,Wide
62.5,-17.5,60,65,-20,-15,3050,204,0.06689,2193,0.90698,Wide
62.5,-12.5,60,65,-15,-10,2818,244,0.08659,1951,0.87494,MNFI
62.5,-7.5,60,65,-10,-5,2174,225,0.1035,1426,0.84222,MNFI
62.5,-2.5,60,65,-5,0,2516,273,0.10851,1627,0.83221,MNFI
62.5,2.5,60,65,0,5,6494,320,0.04928,1860,0.82796,MNFI
62.5,7.5,60,65,5,10,5680,212,0.03732,1382,0.8466,MNFI
62.5,12.5,60,65,10,15,6825,290,0.04249,1985,0.8539,MNFI
62.5,17.5,60,65,15,20,6573,229,0.03484,2349,0.90251,Wide
62.5,22.5,60,65,20,25,4986,142,0.02848,2100,0.93238,Wide
62.5,27.5,60,65,25,30,3568,55,0.01541,1704,0.96772,Wide
62.5,32.5,60,65,30,35,2406,22,0.00914,1227,0.98207,Wide
62.5,37.5,60,65,35,40,1832,13,0.0071,1085,0.98802,Wide
67.5,-37.5,65,70,-40,-35,1126,8,0.0071,736,0.98913,Wide
67.5,-32.5,65,70,-35,-30,1287,8,0.00622,888,0.99099,Wide
67.5,-27.5,65,70,-30,-25,1854,56,0.0302,1335,0.95805,Wide
67.5,-22.5,65,70,-25,-20,2727,132,0.0484,1935,0.93178,Wide
67.5,-17.5,65,70,-20,-15,3032,243,0.08015,2153,0.88713,Wide
67.5,-12.5,65,70,-15,-10,3031,301,0.09931,2109,0.85728,MNFI
67.5,-7.5,65,70,-10,-5,2675,297,0.11103,1726,0.82793,MNFI
67.5,-2.5,65,70,-5,0,3292,390,0.11847,1989,0.80392,MNFI
67.5,2.5,65,70,0,5,9583,484,0.05051,2554,0.81049,MNFI
67.5,7.5,65,70,5,10,8201,267,0.03256,1780,0.85,MNFI
67.5,12.5,65,70,10,15,8278,297,0.03588,2144,0.86147,MNFI
67.5,17.5,65,70,15,20,6906,272,0.03939,2372,0.88533,Wide
67.5,22.5,65,70,20,25,4959,190,0.03831,2179,0.9128,Wide
67.5,27.5,65,70,25,30,3062,67,0.02188,1511,0.95566,Wide
67.5,32.5,65,70,30,35,2117,18,0.0085,1089,0.98347,Wide
67.5,37.5,65,70,35,40,1503,6,0.00399,898,0.99332,Wide
72.5,-37.5,70,75,-40,-35,800,5,0.00625,508,0.99016,Wide
72.5,-32.5,70,75,-35,-30,1075,13,0.01209,740,0.98243,Wide
72.5,-27.5,70,75,-30,-25,1533,41,0.02674,1025,0.96,Wide
72.5,-22.5,70,75,-25,-20,2144,122,0.0569,1509,0.91915,Wide
72.5,-17.5,70,75,-20,-15,2729,207,0.07585,1943,0.89346,Wide
72.5,-12.5,70,75,-15,-10,3169,294,0.09277,2191,0.86581,MNFI
72.5,-7.5,70,75,-10,-5,3404,373,0.10958,2131,0.82496,MNFI
72.5,-2.5,70,75,-5,0,4770,583,0.12222,2985,0.80469,MNFI
72.5,2.5,70,75,0,5,14215,699,0.04917,3618,0.8068,MNFI
72.5,7.5,70,75,5,10,11695,398,0.03403,2307,0.82748,MNFI
72.5,12.5,70,75,10,15,9040,348,0.0385,2318,0.84987,MNFI
72.5,17.5,70,75,15,20,6053,222,0.03668,2113,0.89494,Wide
72.5,22.5,70,75,20,25,3743,96,0.02565,1544,0.93782,Wide
72.5,27.5,70,75,25,30,2369,40,0.01688,1099,0.9636,Wide
72.5,32.5,70,75,30,35,1675,24,0.01433,811,0.97041,Wide
72.5,37.5,70,75,35,40,1166,10,0.00858,653,0.98469,Wide
77.5,-37.5,75,80,-40,-35,577,6,0.0104,357,0.98319,Wide
77.5,-32.5,75,80,-35,-30,787,13,0.01652,526,0.97529,Wide
77.5,-27.5,75,80,-30,-25,1187,29,0.02443,799,0.9637,Wide
77.5,-22.5,75,80,-25,-20,1738,73,0.042,1175,0.93787,Wide
77.5,-17.5,75,80,-20,-15,2422,139,0.05739,1649,0.91571,Wide
77.5,-12.5,75,80,-15,-10,3401,319,0.0938,2359,0.86477,Wide
77.5,-7.5,75,80,-10,-5,5114,549,0.10735,3419,0.83943,CNFI
77.5,-2.5,75,80,-5,0,8624,1068,0.12384,5812,0.81624,CNFI
77.5,2.5,75,80,0,5,22977,1488,0.06476,7556,0.80307,CNFI
77.5,7.5,75,80,5,10,15613,645,0.04131,3862,0.83299,CNFI
77.5,12.5,75,80,10,15,8479,337,0.03975,2480,0.86411,Wide
77.5,17.5,75,80,15,20,4506,172,0.03817,1756,0.90205,Wide
77.5,22.5,75,80,20,25,2658,62,0.02333,1223,0.9493,Wide
77.5,27.5,75,80,25,30,1826,21,0.0115,887,0.97632,Wide
77.5,32.5,75,80,30,35,1181,14,0.01185,631,0.97781,Wide
77.5,37.5,75,80,35,40,782,5,0.00639,432,0.98843,Wide
82.5,-37.5,80,85,-40,-35,241,2,0.0083,145,0.98621,Wide
82.5,-32.5,80,85,-35,-30,621,6,0.00966,387,0.9845,Wide
82.5,-27.5,80,85,-30,-25,894,15,0.01678,564,0.9734,Wide
82.5,-22.5,80,85,-25,-20,1354,43,0.03176,898,0.95212,Wide
82.5,-17.5,80,85,-20,-15,1944,98,0.05041,1321,0.92581,Wide
82.5,-12.5,80,85,-15,-10,3341,239,0.07154,2210,0.89186,Wide
82.5,-7.5,80,85,-10,-5,7663,804,0.10492,5456,0.85264,CNFI
82.5,-2.5,80,85,-5,0,13022,1882,0.14452,10155,0.81467,CNFI
82.5,2.5,80,85,0,5,22597,2234,0.09886,10970,0.79635,CNFI
82.5,7.5,80,85,5,10,15524,1017,0.06551,5904,0.82774,CNFI
82.5,12.5,80,85,10,15,5724,243,0.04245,2229,0.89098,Wide
82.5,17.5,80,85,15,20,2947,95,0.03224,1363,0.9303,Wide
82.5,22.5,80,85,20,25,2003,33,0.01648,982,0.9664,Wide
82.5,27.5,80,85,25,30,1314,17,0.01294,672,0.9747,Wide
82.5,32.5,80,85,30,35,912,9,0.00987,497,0.98189,Wide
82.5,37.5,80,85,35,40,448,8,0.01786,255,0.96863,Wide
87.5,-37.5,85,90,-40,-35,64,0,0.0,40,1.0,Wide
87.5,-32.5,85,90,-35,-30,365,8,0.02192,222,0.96396,Wide
87.5,-27.5,85,90,-30,-25,551,11,0.01996,328,0.96646,Wide
87.5,-22.5,85,90,-25,-20,785,15,0.01911,465,0.96774,Wide
87.5,-17.5,85,90,-20,-15,1004,32,0.03187,636,0.94969,Wide
87.5,-12.5,85,90,-15,-10,1695,72,0.04248,1030,0.9301,Wide
87.5,-7.5,85,90,-10,-5,5689,396,0.06961,3789,0.89549,CNFI
87.5,-2.5,85,90,-5,0,4295,687,0.15995,3393,0.79752,CNFI
87.5,2.5,85,90,0,5,3753,601,0.16014,1882,0.68066,CNFI
87.5,7.5,85,90,5,10,7483,449,0.06,3574,0.87437,CNFI
87.5,12.5,85,90,10,15,2407,90,0.03739,1116,0.91935,Wide
87.5,17.5,85,90,15,20,1431,42,0.02935,664,0.93675,Wide
87.5,22.5,85,90,20,25,1077,26,0.02414,551,0.95281,Wide
87.5,27.5,85,90,25,30,724,12,0.01657,370,0.96757,Wide
87.5,32.5,85,90,30,35,476,4,0.0084,251,0.98406,Wide
87.5,37.5,85,90,35,40,186,3,0.01613,102,0.97059,Wide
